Top,Year,Player_name_name,Player_name_Country,Player_name_Games_played,Player_name_Number_of_assists
1,2022,Lionel Messi,Argentina,7,3
2,2022,Ivan Perisic,Croatia,7,3
3,2022,Antoine Griezmann,France,7,3
4,2022,Harry Kane,England,5,3
5,2022,Bruno Fernandes,Portugal,4,3
6,2022,Kylian Mbapp√©,France,7,2
7,2022,Ousmane Demb√©l√©,France,7,2
8,2022,Theo Hern√°ndez,France,6,2
9,2022,Mislav Orsic,Croatia,6,2
10,2022,Denzel Dumfries,Netherlands,5,2
11,2022,Marcus Thuram,France,5,2
12,2022,Jo√£o F√©lix,Portugal,4,2
13,2022,Christian Pulisic,United States,4,2
14,2022,Vin√≠cius J√∫nior,Brazil,4,2
15,2022,Rapha√´l Guerreiro,Portugal,4,2
16,2022,Jordi Alba,Spain,4,2
17,2022,Phil Foden,England,4,2
18,2022,Davy Klaassen,Netherlands,4,2
19,2022,F√©lix Torres,Ecuador,3,2
20,2022,Serge Gnabry,Germany,3,2
21,2022,Diogo Dalot,Portugal,3,2
22,2022,Dusan Tadic,Serbia,3,2
23,2022,Andrija Zivkovic,Serbia,3,2
24,2022,Nicol√°s Otamendi,Argentina,7,1
25,2022,Hakim Ziyech,Morocco,7,1
26,2022,Achraf Hakimi,Morocco,7,1
27,2022,Nahuel Molina,Argentina,7,1
28,2022,Enzo Fern√°ndez,Argentina,7,1
29,2022,Josip Juranovic,Croatia,6,1
30,2022,Dejan Lovren,Croatia,6,1
31,2022,Alexis Mac Allister,Argentina,6,1
32,2022,Adrien Rabiot,France,6,1
33,2022,Yahya Attiyat-Allah,Morocco,6,1
34,2022,Marko Livaja,Croatia,6,1
35,2022,Frenkie de Jong,Netherlands,5,1
36,2022,Harry Maguire,England,5,1
37,2022,Luke Shaw,England,5,1
38,2022,Daley Blind,Netherlands,5,1
39,2022,Jude Bellingham,England,5,1
40,2022,√Ångel Di Mar√≠a,Argentina,5,1
41,2022,Teun Koopmeiners,Netherlands,5,1
42,2022,Rodrygo,Brazil,5,1
43,2022,Abdelhamid Sabiri,Morocco,5,1
44,2022,Casemiro,Brazil,4,1
45,2022,Maya Yoshida,Japan,4,1
46,2022,Thiago Silva,Brazil,4,1
47,2022,Dani Olmo,Spain,4,1
48,2022,Son Heung-Min,South Korea,4,1
49,2022,Robert Lewandowski,Poland,4,1
50,2022,Mathew Leckie,Australia,4,1
1,2002,Michael Ballack,Germany,6,6
2,2002,David Beckham,England,5,3
3,2002,Ronaldinho,Brazil,5,3
4,2002,Christian Ziege,Germany,5,3
5,2002,Francisco De Pedro,Spain,4,3
6,2002,Miroslav Klose,Germany,7,2
7,2002,Hasan Gokhan Sas,Turkey,6,2
8,2002,Lee Young-Pyo,South Korea,5,2
9,2002,El-Hadji Diouf,Senegal,5,2
10,2002,KlÈberson,Brazil,5,2
11,2002,Francesco Totti,Italy,4,2
12,2002,Lee Eul-Young,South Korea,4,2
13,2002,Henri Camara,Senegal,4,2
14,2002,Luis Figo,Portugal,3,2
15,2002,Daisuke Ichikawa,Japan,3,2
16,2002,Dmitry Sychev,Russia,3,2
17,2002,Steven Bryce,Costa Rica,3,2
18,2002,Eric Van Meir,Belgium,2,2
19,2002,Junior,Brazil,1,2
20,2002,Cafu,Brazil,7,1
21,2002,Rivaldo,Brazil,7,1
22,2002,Hakan Sukur,Turkey,7,1
23,2002,Bernd Schneider,Germany,7,1
24,2002,Yildiray Basturk,Turkey,7,1
25,2002,Umit Davala,Turkey,7,1
26,2002,Ilhan Mansiz,Turkey,7,1
27,2002,Oliver Neuville,Germany,6,1
28,2002,Ergun Penbe,Turkey,5,1
29,2002,John O'Brien,United States,5,1
30,2002,Tony Sanneh,United States,5,1
31,2002,Brian McBride,United States,5,1
32,2002,Carles Puyol,Spain,4,1
33,2002,Matt Holland,Republic of Ireland,4,1
34,2002,Khalilou Fadiga,Senegal,4,1
35,2002,Nicky Butt,England,4,1
36,2002,Bart Goor,Belgium,4,1
37,2002,Francisco Arce,Paraguay,4,1
38,2002,Hidetoshi Nakata,Japan,4,1
39,2002,Cuauhtemoc Blanco,Mexico,4,1
40,2002,Denis RamÛn Caniza,Paraguay,4,1
41,2002,Thomas Gravesen,Denmark,4,1
42,2002,Stig Tˆfting,Denmark,4,1
43,2002,Steve Staunton,Republic of Ireland,4,1
44,2002,Gary Kelly,Republic of Ireland,4,1
45,2002,Gert Verheyen,Belgium,4,1
46,2002,Anders Svensson,Sweden,4,1
47,2002,RamÛn Morales,Mexico,4,1
48,2002,Jesper Gronkjaer,Denmark,4,1
49,2002,Mauricio Wright,Costa Rica,3,1
50,2002,Joseph Yobo,Nigeria,3,1
1,2006,Francesco Totti,Italy,7,4
2,2006,Bastian Schweinsteiger,Germany,7,3
3,2006,Andrea Pirlo,Italy,7,3
4,2006,Luis Figo,Portugal,7,3
5,2006,Patrick Vieira,France,7,2
6,2006,Juan Rom·n Riquelme,Argentina,5,2
7,2006,David Beckham,England,5,2
8,2006,Mario Mendez,Mexico,4,2
9,2006,Edison Vicente Mendez Mendez,Ecuador,4,2
10,2006,Maxim Kalinichenko,Ukraine,4,2
11,2006,Cafu,Brazil,4,2
12,2006,John Aloisi,Australia,4,2
13,2006,Franck RibÈry,France,7,1
