Top,Year,selection1_Player_name,selection1_Country,selection1_Games_played,selection1_Goals
1,2022,Kylian Mbapp√©,France,7,8
2,2022,Lionel Messi,Argentina,7,7
3,2022,Juli√°n √Ålvarez,Argentina,7,4
3,2022,Olivier Giroud,France,6,4
4,2022,Cody Gakpo,Netherlands,5,3
5,2022,Marcus Rashford,England,5,3
5,2022,Richarlison,Brazil,4,3
6,2022,Bukayo Saka,England,4,3
7,2022,√Ålvaro Mora,Spain,4,3
7,2022,Goncalo Ramos,Portugal,4,3
8,2022,Enner Valencia,Ecuador,3,3
9,2022,Youssef En-Nesyri,Morocco,7,2
9,2022,Andrej Kramaric,Croatia,7,2
10,2022,Harry Kane,England,5,2
11,2022,Rafael Le√£o,Portugal,5,2
11,2022,Robert Lewandowski,Poland,4,2
12,2022,Bruno Fernandes,Portugal,4,2
13,2022,Breel Embolo,Switzerland,4,2
13,2022,Cho Gue-Sung,South Korea,4,2
14,2022,Ferran Torres,Spain,4,2
15,2022,Ritsu Doan,Japan,4,2
15,2022,Wout Weghorst,Netherlands,4,2
16,2022,Neymar,Brazil,3,2
17,2022,Mehdi Taremi,Iran,3,2
17,2022,Salem Al-Dawsari,Saudi Arabia,3,2
18,2022,Aleksandar Mitrovic,Serbia,3,2
19,2022,Mohammed Kudus,Ghana,3,2
19,2022,Vincent Aboubakar,Cameroon,3,2
20,2022,Niclas F√ºllkrug,Germany,3,2
21,2022,Giorgian de Arrascaeta,Uruguay,2,2
21,2022,Kai Havertz,Germany,2,2
22,2022,Josko Gvardiol,Croatia,7,1
23,2022,Ivan Perisic,Croatia,7,1
23,2022,Hakim Ziyech,Morocco,7,1
24,2022,Aur√©lien Tchouam√©ni,France,7,1
25,2022,Nahuel Molina,Argentina,7,1
25,2022,Enzo Fern√°ndez,Argentina,7,1
26,2022,Lovro Majer,Croatia,7,1
27,2022,Alexis Mac Allister,Argentina,6,1
27,2022,Theo Hern√°ndez,France,6,1
28,2022,Adrien Rabiot,France,6,1
29,2022,Romain Sa√Øss,Morocco,6,1
29,2022,Marko Livaja,Croatia,6,1
30,2022,Bruno Petkovic,Croatia,6,1
31,2022,Mislav Orsic,Croatia,6,1
31,2022,Denzel Dumfries,Netherlands,5,1
32,2022,Frenkie de Jong,Netherlands,5,1
33,2022,Daley Blind,Netherlands,5,1
33,2022,Jude Bellingham,England,5,1
34,2022,Memphis Depay,Netherlands,5,1
1,2018,Harry Kane,England,6,6
2,2018,Antoine Griezmann,France,7,4
3,2018,Kylian MbappÈ,France,7,4
4,2018,Romelu Lukaku,Belgium,6,4
5,2018,Denis Cheryshev,Russia,5,4
6,2018,Cristiano Ronaldo,Portugal,4,4
7,2018,Ivan Perisic,Croatia,7,3
8,2018,Mario Mandzukic,Croatia,6,3
9,2018,Eden Hazard,Belgium,6,3
10,2018,Artem Dzyuba,Russia,5,3
11,2018,Edinson Cavani,Uruguay,4,3
12,2018,Diego Costa,Spain,4,3
13,2018,Yerry Mina,Colombia,3,3
14,2018,Luka Modric,Croatia,7,2
15,2018,John Stones,England,7,2
16,2018,Neymar,Brazil,5,2
17,2018,Luis Su·rez,Uruguay,5,2
18,2018,Andreas Granqvist,Sweden,5,2
19,2018,Philippe Coutinho,Brazil,5,2
20,2018,Takashi Inui,Japan,4,2
21,2018,Sergio Ag¸ero,Argentina,4,2
22,2018,Son Heung-Min,South Korea,3,2
23,2018,Mile Jedinak,Australia,3,2
24,2018,Wahbi Khazri,Tunisia,3,2
25,2018,Ahmed Musa,Nigeria,3,2
26,2018,Mohamed Salah,Egypt,2,2
27,2018,Harry Maguire,England,7,1
28,2018,Ivan Rakitic,Croatia,7,1
29,2018,RaphaÎl Varane,France,7,1
30,2018,Andrej Kramaric,Croatia,7,1
31,2018,Domagoj Vida,Croatia,6,1
32,2018,Kieran Trippier,England,6,1
33,2018,Ante Rebic,Croatia,6,1
34,2018,Benjamin Pavard,France,6,1
35,2018,Samuel Umtiti,France,6,1
36,2018,Kevin De Bruyne,Belgium,6,1
37,2018,Jan Vertonghen,Belgium,6,1
38,2018,Paul Pogba,France,6,1
39,2018,Jesse Lingard,England,6,1
40,2018,Nacer Chadli,Belgium,6,1
41,2018,Dries Mertens,Belgium,6,1
42,2018,M·rio Fernandes,Russia,5,1
43,2018,Ludwig Augustinsson,Sweden,5,1
44,2018,Thomas Meunier,Belgium,5,1
45,2018,Thiago Silva,Brazil,5,1
46,2018,Emil Forsberg,Sweden,5,1
47,2018,Ola Toivonen,Sweden,5,1
48,2018,Dele Alli,England,5,1
49,2018,Paulinho,Brazil,5,1
50,2018,Marouane Fellaini,Belgium,5,1
1,2010,Diego Forl·n,Uruguay,7,5
2,2010,Wesley Sneijder,Netherlands,7,5
3,2010,David Villa,Spain,7,5
4,2010,Thomas M¸ller,Germany,6,5
5,2010,Miroslav Klose,Germany,5,4
6,2010,RÛbert Vittek,Slovakia,4,4
7,2010,Gonzalo HiguaÌn,Argentina,4,4
8,2010,Luis Su·rez,Uruguay,6,3
9,2010,Asamoah Gyan,Ghana,5,3
10,2010,Luis Fabiano,Brazil,5,3
11,2010,Landon Donovan,United States,4,3
12,2010,AndrÈs Iniesta,Spain,6,2
13,2010,Lukas Podolski,Germany,6,2
14,2010,Arjen Robben,Netherlands,5,2
15,2010,Keisuke Honda,Japan,4,2
16,2010,Lee Jung-Soo,South Korea,4,2
17,2010,Lee Chung-Yong,South Korea,4,2
18,2010,Robinho,Brazil,4,2
19,2010,Carlos Tevez,Argentina,4,2
20,2010,Tiago,Portugal,4,2
21,2010,Javier Hern·ndez,Mexico,4,2
22,2010,Samuel Eto'o,Cameroon,3,2
23,2010,Kalu Uche,Nigeria,3,2
24,2010,Brett Holman,Australia,3,2
25,2010,Elano,Brazil,2,2
26,2010,Maxi Pereira,Uruguay,7,1
27,2010,Carles Puyol,Spain,7,1
28,2010,Giovanni van Bronckhorst,Netherlands,7,1
29,2010,Arne Friedrich,Germany,7,1
30,2010,Sami Khedira,Germany,7,1
31,2010,Robin van Persie,Netherlands,7,1
32,2010,Dirk Kuyt,Netherlands,7,1
33,2010,Mesut ÷zil,Germany,7,1
34,2010,Edinson Cavani,Uruguay,6,1
35,2010,Cristian Riveros,Paraguay,5,1
36,2010,Kevin-Prince Boateng,Ghana,5,1
37,2010,Maicon,Brazil,5,1
38,2010,MartÌn Demichelis,Argentina,5,1
39,2010,Juan,Brazil,5,1
40,2010,Enrique Vera,Paraguay,5,1
41,2010,¡lvaro Pereira,Uruguay,5,1
42,2010,Antolin Alcaraz,Paraguay,4,1
43,2010,Michael Bradley,United States,4,1
44,2010,Clint Dempsey,United States,4,1
45,2010,Yasuhito Endo,Japan,4,1
46,2010,Jean Beausejour,Chile,4,1
47,2010,Cristiano Ronaldo,Portugal,4,1
48,2010,Park Ji-Sung,South Korea,4,1
49,2010,Rafael M·rquez,Mexico,4,1
50,2010,Gabriel Heinze,Argentina,4,1
1,2006,Miroslav Klose,Germany,7,5
2,2006,Lukas Podolski,Germany,7,3
3,2006,Thierry Henry,France,7,3
4,2006,Zinedine Zidane,France,6,3
5,2006,Maxi RodrÌguez,Argentina,5,3
6,2006,Ronaldo,Brazil,5,3
7,2006,David Villa,Spain,4,3
8,2006,Fernando Torres,Spain,4,3
9,2006,Hern·n Crespo,Argentina,4,3
10,2006,Maniche,Portugal,7,2
11,2006,Bastian Schweinsteiger,Germany,7,2
12,2006,Patrick Vieira,France,7,2
13,2006,Luca Toni,Italy,6,2
14,2006,Andriy Shevchenko,Ukraine,5,2
15,2006,Steven Gerrard,England,5,2
16,2006,Adriano,Brazil,4,2
17,2006,Marco Materazzi,Italy,4,2
18,2006,Alexander Frei,Switzerland,4,2
19,2006,Tim Cahill,Australia,4,2
20,2006,Omar Bravo,Mexico,3,2
21,2006,Aruna Dindane,Ivory Coast,3,2
22,2006,Carlos Vicente Medina Tenorio,Ecuador,3,2
23,2006,Agustin Delgado,Ecuador,3,2
24,2006,Tomas Rosicky,Czech Republic,3,2
25,2006,Paulo Wanchope,Costa Rica,3,2
26,2006,Bartosz Bosacki,Poland,2,2
27,2006,Franck RibÈry,France,7,1
28,2006,Philip Lahm,Germany,7,1
29,2006,Sim„o,Portugal,7,1
30,2006,Oliver Neuville,Germany,7,1
31,2006,Andrea Pirlo,Italy,7,1
32,2006,Francesco Totti,Italy,7,1
33,2006,Cristiano Ronaldo,Portugal,6,1
34,2006,Fabio Grosso,Italy,6,1
35,2006,Gianluca Zambrotta,Italy,6,1
36,2006,Pedro Miguel Pauleta,Portugal,6,1
37,2006,Torsten Frings,Germany,6,1
38,2006,Alberto Gilardino,Italy,5,1
39,2006,Kak·,Brazil,5,1
40,2006,ZÈ Roberto,Brazil,5,1
41,2006,Esteban Cambiasso,Argentina,5,1
42,2006,Alessandro Del Piero,Italy,5,1
43,2006,Vincenzo Iaquinta,Italy,5,1
44,2006,Roberto Ayala,Argentina,5,1
45,2006,David Beckham,England,5,1
46,2006,Joe Cole,England,5,1
47,2006,Tranquillo Barnetta,Switzerland,4,1
48,2006,Carlos Tevez,Argentina,4,1
49,2006,Stephen Appiah,Ghana,4,1
50,2006,Francisco Fonseca,Mexico,4,1
1,2002,Ronaldo,Brazil,7,8
2,2002,Rivaldo,Brazil,7,5
3,2002,Miroslav Klose,Germany,7,5
4,2002,Christian Vieri,Italy,4,4
5,2002,Jon Dahl Tomasson,Denmark,4,4
6,2002,Ilhan Mansiz,Turkey,7,3
7,2002,Michael Ballack,Germany,6,3
8,2002,Papa Bouba Diop,Senegal,5,3
9,2002,Fernando Sanchez Morientes,Spain,5,3
10,2002,Robbie Keane,Republic of Ireland,4,3
11,2002,Henrik Larsson,Sweden,4,3
12,2002,Marc Wilmots,Belgium,4,3
13,2002,Ra˙l Gonz·lez,Spain,4,3
14,2002,Pedro Pauleta,Portugal,3,3
15,2002,Ahn Jung-Hwan,South Korea,7,2
16,2002,Umit Davala,Turkey,7,2
17,2002,Hasan Gokhan Sas,Turkey,6,2
18,2002,Landon Donovan,United States,5,2
19,2002,Brian McBride,United States,5,2
20,2002,Michael Owen,England,5,2
21,2002,Ronaldinho,Brazil,5,2
22,2002,Fernando Hierro,Spain,4,2
23,2002,Jared Francisco Echavarria Borgetti,Mexico,4,2
24,2002,Henri Camara,Senegal,4,2
25,2002,Junichi Inamoto,Japan,4,2
26,2002,RÛnald GÛmez,Costa Rica,3,2
27,2002,Nelson Cuevas,Paraguay,2,2
28,2002,Song Chong-Gug,South Korea,7,1
29,2002,Park Ji-Sung,South Korea,7,1
30,2002,Thomas Linke,Germany,7,1
31,2002,Seol Ki-Hyun,South Korea,7,1
32,2002,Hakan Sukur,Turkey,7,1
33,2002,Bernd Schneider,Germany,7,1
34,2002,Yoo Sang-Chul,South Korea,7,1
35,2002,EdmÌlson,Brazil,6,1
36,2002,Roberto Carlos,Brazil,6,1
37,2002,Bulent Korkmaz,Turkey,6,1
38,2002,Emre Belozoglu,Turkey,6,1
39,2002,Oliver Neuville,Germany,6,1
40,2002,Marco Bode,Germany,6,1
41,2002,John O'Brien,United States,5,1
42,2002,Sol Campbell,England,5,1
43,2002,Rio Ferdinand,England,5,1
44,2002,David Beckham,England,5,1
45,2002,Emile Heskey,England,5,1
46,2002,Hwang Sun-Hong,South Korea,5,1
47,2002,Oliver Bierhoff,Germany,5,1
48,2002,Gary Breen,Republic of Ireland,4,1
49,2002,Matt Holland,Republic of Ireland,4,1
50,2002,Damien Duff,Republic of Ireland,4,1
1,2014,James RodrÌguez,Colombia,5,6
2,2014,Thomas M¸ller,Germany,7,5
3,2014,Lionel Messi,Argentina,7,4
4,2014,Robin van Persie,Netherlands,6,4
5,2014,Neymar,Brazil,5,4
6,2014,Arjen Robben,Netherlands,7,3
7,2014,AndrÈ Sch¸rrle,Germany,6,3
8,2014,Karim Benzema,France,5,3
9,2014,Xherdan Shaqiri,Switzerland,4,3
10,2014,Enner Valencia,Ecuador,3,3
11,2014,Toni Kroos,Germany,7,2
12,2014,David Luiz,Brazil,7,2
13,2014,Oscar,Brazil,7,2
14,2014,Mats Hummels,Germany,6,2
15,2014,Mario Gˆtze,Germany,6,2
16,2014,Bryan Ruiz,Costa Rica,5,2
17,2014,Miroslav Klose,Germany,5,2
18,2014,Alexis S·nchez,Chile,4,2
19,2014,Clint Dempsey,United States,4,2
20,2014,Ahmed Musa,Nigeria,4,2
21,2014,Islam Slimani,Algeria,4,2
22,2014,Memphis Depay,Netherlands,4,2
23,2014,Asamoah Gyan,Ghana,3,2
24,2014,Gervinho,Ivory Coast,3,2
25,2014,AndrÈ Ayew,Ghana,3,2
26,2014,Ivan Perisic,Croatia,3,2
27,2014,Jackson MartÌnez,Colombia,3,2
28,2014,AbdelmoumÈne Djabou,Algeria,3,2
29,2014,Wilfried Bony,Ivory Coast,3,2
30,2014,Mario Mandzukic,Croatia,2,2
31,2014,Luis Su·rez,Uruguay,2,2
32,2014,Tim Cahill,Australia,2,2
33,2014,Stefan de Vrij,Netherlands,7,1
34,2014,Daley Blind,Netherlands,7,1
35,2014,Mesut ÷zil,Germany,7,1
36,2014,Wesley Sneijder,Netherlands,7,1
37,2014,Gonzalo HiguaÌn,Argentina,7,1
38,2014,Georginio Wijnaldum,Netherlands,7,1
39,2014,Marcos Rojo,Argentina,6,1
40,2014,Thiago Silva,Brazil,6,1
41,2014,Fred,Brazil,6,1
42,2014,Jan Vertonghen,Belgium,5,1
43,2014,Blaise Matuidi,France,5,1
44,2014,¡ngel Di MarÌa,Argentina,5,1
45,2014,Pablo Armero,Colombia,5,1
46,2014,Joel Campbell,Costa Rica,5,1
47,2014,Marouane Fellaini,Belgium,5,1
48,2014,Juan Cuadrado,Colombia,5,1
49,2014,Sami Khedira,Germany,5,1
50,2014,Paul Pogba,France,5,1
